Name;Path;Data Type;Logical Address;Comment;Kind;Station
1b_Emitter_5_Emit;Standard-Variablentabelle;Bool;%A1.1;1b | Factory I/O: 1b_Emitter 5 (Emit);PLC;Standard-Variablentabelle
1b_raw_material_emitter_2;Standard-Variablentabelle;Bool;%A1.2;1b | Factory I/O: 1b_raw_material_emitter__2;PLC;Standard-Variablentabelle
2a_After_DC_Our_0;Standard-Variablentabelle;Bool;%A2.0;2a | Factory I/O: 2a_After_DC_Our_0;PLC;Standard-Variablentabelle
2a_After_MC_out_0;Standard-Variablentabelle;Bool;%A2.1;2a | Factory I/O: 2a_After_MC_out_0;PLC;Standard-Variablentabelle
2a_After_Metal_MC_Base_Conveyor;Standard-Variablentabelle;Bool;%A2.2;2a | Factory I/O: 2a_After_Metal_MC_Base_Conveyor;PLC;Standard-Variablentabelle
2a_After_Metal_MC_Lid_Conveyor;Standard-Variablentabelle;Bool;%A2.3;2a | Factory I/O: 2a_After_Metal_MC_Lid_Conveyor;PLC;Standard-Variablentabelle
2a_Motor_Before_PP_Base;Standard-Variablentabelle;Bool;%A2.4;2a | Factory I/O: 2a_Motor_Before_PP_Base;PLC;Standard-Variablentabelle
2a_Motor_Before_PP_Lid;Standard-Variablentabelle;Bool;%A2.5;2a | Factory I/O: 2a_Motor_Before_PP_Lid;PLC;Standard-Variablentabelle
2b_After_Plastic_DC_out_0;Standard-Variablentabelle;Bool;%A3.0;2b | Factory I/O: 2b_After_Plastic_DC_out_0;PLC;Standard-Variablentabelle
2b_After_Plastic_MC_out_1;Standard-Variablentabelle;Bool;%A3.1;2b | Factory I/O: 2b_After_Plastic_MC_out_1;PLC;Standard-Variablentabelle
2b_After_Plastic_MC_out_2;Standard-Variablentabelle;Bool;%A3.2;2b | Factory I/O: 2b_After_Plastic_MC_out_2;PLC;Standard-Variablentabelle
2b_Curved_Belt_Conveyor_6_CW;Standard-Variablentabelle;Bool;%A3.3;2b | Factory I/O: 2b_Curved Belt Conveyor 6 CW | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
2b_Curved_Belt_Conveyor_6_CW_2;Standard-Variablentabelle;Bool;%A3.4;2b | Factory I/O: 2b_Curved Belt Conveyor 6 CW | DUPLICATE source name - verify mapping;PLC;Standard-Variablentabelle
